epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
108,279.846,0.29781,0.96,1,0.15057,0.000154539,0.000154539,0.000154539
109,282.357,0.26273,0.94333,1,0.1453,0.000151067,0.000151067,0.000151067
110,284.892,0.27719,0.96,1,0.11802,0.000147596,0.000147596,0.000147596
111,287.391,0.25472,0.96333,1,0.14855,0.000144124,0.000144124,0.000144124
112,289.907,0.26909,0.96667,1,0.10547,0.000140652,0.000140652,0.000140652
113,292.43,0.25342,0.94,1,0.14503,0.000137181,0.000137181,0.000137181
114,295.084,0.28231,0.94333,1,0.14798,0.000133709,0.000133709,0.000133709
115,298,0.22321,0.96667,1,0.08208,0.000130238,0.000130238,0.000130238
116,300.664,0.24664,0.96,1,0.12491,0.000126766,0.000126766,0.000126766
117,303.352,0.22702,0.96,1,0.13273,0.000123294,0.000123294,0.000123294
118,306,0.23187,0.96333,1,0.13185,0.000119823,0.000119823,0.000119823
119,308.599,0.27341,0.96667,1,0.12874,0.000116351,0.000116351,0.000116351
120,311.169,0.22785,0.96667,1,0.11897,0.00011288,0.00011288,0.00011288
121,313.745,0.23717,0.96,1,0.09714,0.000109408,0.000109408,0.000109408
122,316.27,0.27301,0.96,1,0.14532,0.000105936,0.000105936,0.000105936
123,318.795,0.24447,0.95667,1,0.10639,0.000102465,0.000102465,0.000102465
124,321.292,0.22553,0.96,1,0.11959,9.89932e-05,9.89932e-05,9.89932e-05
125,323.833,0.25547,0.95333,1,0.11524,9.55216e-05,9.55216e-05,9.55216e-05
126,326.687,0.23171,0.97,1,0.10654,9.205e-05,9.205e-05,9.205e-05
127,329.313,0.20028,0.96333,1,0.11658,8.85784e-05,8.85784e-05,8.85784e-05
128,331.93,0.24415,0.96333,1,0.10687,8.51068e-05,8.51068e-05,8.51068e-05
129,334.564,0.20808,0.96,1,0.14941,8.16352e-05,8.16352e-05,8.16352e-05
130,337.162,0.23843,0.97,1,0.09448,7.81636e-05,7.81636e-05,7.81636e-05
131,339.862,0.23326,0.97,1,0.08183,7.4692e-05,7.4692e-05,7.4692e-05
132,342.639,0.20929,0.96333,1,0.09439,7.12204e-05,7.12204e-05,7.12204e-05
133,345.207,0.20883,0.95333,1,0.09755,6.77488e-05,6.77488e-05,6.77488e-05
134,347.69,0.17017,0.96,1,0.09503,6.42772e-05,6.42772e-05,6.42772e-05
135,350.217,0.19801,0.95667,1,0.09225,6.08056e-05,6.08056e-05,6.08056e-05
136,352.813,0.19548,0.95667,1,0.10562,5.7334e-05,5.7334e-05,5.7334e-05
137,355.453,0.19974,0.95,1,0.12228,5.38624e-05,5.38624e-05,5.38624e-05
138,358.056,0.22963,0.95333,1,0.11199,5.03908e-05,5.03908e-05,5.03908e-05
139,360.557,0.21375,0.94333,1,0.14014,4.69192e-05,4.69192e-05,4.69192e-05
140,363.051,0.15363,0.95333,1,0.10349,4.34476e-05,4.34476e-05,4.34476e-05
